"SOURCE_TABLE","SOURCE_COLUMN","SOURCE_VALUE","SOURCE_DESCRIPTION","TARGET_TABLE","TARGET_COLUMN","TARGET_CONCEPT_ID_CHAR","COMMENTS","TARGET_CONCEPT_ID"
"LAB_RESULT_CM","LAB_RESULT_SOURCE","BI","BI=Billing","","","32821","From N3C","32821"
"LAB_RESULT_CM","LAB_RESULT_SOURCE","UN","UN=Unknown","","","0","From N3C","0"
"LAB_RESULT_CM","NORM_MODIFIER_HIGH","LE","LE=Less  than  or  equal  to","","","4171754","From N3C","4171754"
"LAB_RESULT_CM","RESULT_QUAL","A","Blood Group A","","","4008253","From N3C","4008253"
"LAB_RESULT_CM","RESULT_QUAL","AB NEGATIVE","AB NEGATIVE","","","46237994","From N3C","46237994"
"LAB_RESULT_CM","RESULT_QUAL","AB+","AB POS","","","46237873","From N3C","46237873"
"LAB_RESULT_CM","RESULT_QUAL","B NEG","B NEGATIVE","","","46237872","From N3C","46237872"
"LAB_RESULT_CM","RESULT_QUAL","REACTIVE","Reactive","","","45884084","From N3C","45884084"
"LAB_RESULT_CM","RESULT_QUAL","see comment","see comment","","","0","From N3C","0"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","%{Hb}","percent hemoglobin","","","8737","From N3C","8737"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","%{RBCs}","percent of red blood cells","","","0","From N3C","0"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","%{index}","percent index","","","0","From N3C","0"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","%{loss_AChR}","percent  loss of acetylcholine receptor","","","0","From N3C","0"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","%{reference}","percent reference","","","0","From N3C","0"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","/10*3{RBCs}","per thousand red blood cells","","","44777576","From N3C","44777576"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","/g{creat}","per gram of creatinine","","","9247","From N3C","9247"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","/mmol{creat}","per millimole of creatinine","","","44777619","From N3C","44777619"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","/s","per second","","","44777659","From N3C","44777659"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","10*3","thousand","","","8566","From N3C","8566"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","10*3/mL","thousand per milliliter","","","9436","From N3C","9436"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","10*3/uL","thousand per microliter","","","8848","From N3C","8848"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","10*3{RBCs}","thousand red blood cells","","","9434","From N3C","9434"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","10*5","one hundred thousand","","","9438","From N3C","9438"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","10*9/uL","billion per microliter","","","9446","From N3C","9446"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","F","Farad","","","8517","From N3C","8517"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","Gy","Gray","","","9519","From N3C","9519"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","K/W","degree Kelvin per Watt","","","9524","From N3C","9524"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","L","liter","","","8519","From N3C","8519"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","L/(min.m2)","liter per minute per square meter","","","32710","From N3C","32710"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","L/d","liter per day","","","0","From N3C","0"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","MG/L","milligram per liter","","","8751","From N3C","8751"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","N.s","Newton second","","","0","From N3C","0"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","Pa","Pascal","","","9623","From N3C","9623"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","S","Siemens","","","9639","From N3C","9639"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","U/(10.g){feces}","enzyme unit per 10 gram of feces","","","9508","From N3C","9508"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","U/(2.h)","enzyme unit per 2 hour","","","8630","From N3C","8630"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","U/(24.h)","enzyme unit per 24 hour","","","44777567","From N3C","44777567"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","U/10","enzyme unit per 10","","","8662","From N3C","8662"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","U/mmol{creat}","enzyme unit per millimole of creatinine","","","44777619","From N3C","44777619"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","UN","Unknown","","","0","From N3C","0"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","[CFU]","colony forming unit","","","9278","From N3C","9278"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","[Ch]","French (catheter gauge)","","","9279","From N3C","9279"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","[GPL'U]","IgG anticardiolipin unit**","","","9100","From N3C","9100"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","[HPF]","high power field","","","8786","From N3C","8786"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","[IU]/dL","international unit per deciliter","","","9332","From N3C","9332"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","[IU]/h","international unit per hour","","","9687","From N3C","9687"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","[MPL'U]/mL","IgM anticardiolipin unit per milliliter**","","","9158","From N3C","9158"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","[cin_i]","cubic inch (international)","","","9283","From N3C","9283"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","[ka'U]","King Armstrong unit","","","9339","From N3C","9339"
"PRESCRIBING","RX_DOSE_ORDERED_UNIT","[knk'U]","Kunkel unit","","","9342","From N3C","9342"
