DOMAIN_ID	VOCABULARY_ID	CONCEPT_CLASS_ID
Condition	HCPCS	HCPCS Modifier
Condition	ICDO3	ICDO Condition
Condition	Nebraska Lexicon	Clinical Finding
Condition	Nebraska Lexicon	Procedure
Condition	Nebraska Lexicon	Context-dependent
Condition	OMOP Extension	Clinical Finding
Condition	OPCS4	Clinical Finding
Condition	SNOMED	Clinical Finding
Condition	SNOMED	Context-dependent
Condition	SNOMED Veterinary	Clinical Finding
Condition Status	Condition Status	Condition Status
Cost	Cost	Summary
Cost	Cost	Detail
Currency	Currency	Currency
Device	AMT	Trade Product Pack
Device	AMT	Qualifier Value
Device	AMT	Clinical Drug Form
Device	AMT	Med Product Pack
Device	AMT	Clinical Finding
Device	AMT	Substance
Device	AMT	Pharma/Biol Product
Device	AMT	Containered Pack
Device	AMT	Trade Product Unit
Device	AMT	Med Product Unit
Device	BDPM	Device
Device	CPT4	CPT4 Modifier
Device	CPT4	CPT4
Device	GGR	Med Product Pack
Device	HCPCS	HCPCS
Device	HCPCS	HCPCS Modifier
Device	ICD10PCS	ICD10PCS Hierarchy
Device	ICD10PCS	ICD10PCS
Device	JMDC	Device
Device	KDC	Device
Device	NDC	Device
Device	OPCS4	Physical Object
Device	SNOMED	Pharma/Biol Product
Device	SNOMED	Substance
Device	SNOMED	Clinical Drug
Device	SNOMED	Physical Object
Device	SNOMED Veterinary	Substance
Device	SNOMED Veterinary	Physical Object
Device	dm+d	VMPP
Device	dm+d	VMP
Device	dm+d	AMPP
Device	dm+d	AMP
Drug	CPT4	CPT4 Modifier
Drug	CVX	CVX
Drug	HCPCS	HCPCS
Drug	RxNorm	Clinical Drug Form
Drug	RxNorm	Quant Branded Drug
Drug	RxNorm	Branded Drug
Drug	RxNorm	Clinical Drug Comp
Drug	RxNorm	Clinical Drug
Drug	RxNorm	Quant Clinical Drug
Drug	RxNorm	Branded Drug Comp
Drug	RxNorm	Clinical Pack
Drug	RxNorm	Branded Drug Form
Drug	RxNorm	Ingredient
Drug	RxNorm	Branded Pack
Drug	RxNorm Extension	Clinical Pack Box
Drug	RxNorm Extension	Branded Drug Comp
Drug	RxNorm Extension	Clinical Drug Box
Drug	RxNorm Extension	Marketed Product
Drug	RxNorm Extension	Branded Drug Box
Drug	RxNorm Extension	Quant Branded Drug
Drug	RxNorm Extension	Branded Pack
Drug	RxNorm Extension	Clinical Drug Form
Drug	RxNorm Extension	Quant Clinical Box
Drug	RxNorm Extension	Clinical Drug
Drug	RxNorm Extension	Branded Drug Form
Drug	RxNorm Extension	Clinical Pack
Drug	RxNorm Extension	Ingredient
Drug	RxNorm Extension	Branded Pack Box
Drug	RxNorm Extension	Clinical Drug Comp
Drug	RxNorm Extension	Branded Drug
Drug	RxNorm Extension	Quant Clinical Drug
Drug	RxNorm Extension	Quant Branded Box
Episode	Episode	Disease Extent
Episode	Episode	Treatment
Episode	Episode	Disease Dynamic
Episode	Episode	Episode of Care
Ethnicity	Ethnicity	Ethnicity
Gender	Gender	Gender
Geography	OSM	3rd level
Geography	OSM	7th level
Geography	OSM	6th level
Geography	OSM	11th level
Geography	OSM	12th level
Geography	OSM	10th level
Geography	OSM	9th level
Geography	OSM	2nd level
Geography	OSM	4th level
Geography	OSM	8th level
Geography	OSM	5th level
Geography	US Census	US Census Division
Geography	US Census	US Census Region
Language	Language	Language
Language	SNOMED	Qualifier Value
Meas Value	CPT4	CPT4 Modifier
Meas Value	LOINC	Doc Kind
Meas Value	LOINC	Answer
Meas Value	LOINC	Doc Setting
Meas Value	LOINC	Doc Subject Matter
Meas Value	LOINC	Doc Role
Meas Value	LOINC	Doc Type of Service
Meas Value	NAACCR	NAACCR Value
Meas Value	Nebraska Lexicon	Qualifier Value
Meas Value	OMOP Extension	Qualifier Value
Meas Value	SNOMED	Qualifier Value
Meas Value	UK Biobank	Value
Meas Value Operator	SNOMED	Qualifier Value
Measurement	CPT4	CPT4
Measurement	CPT4	CPT4 Hierarchy
Measurement	CPT4	CPT4 Modifier
Measurement	Cancer Modifier	Metastasis
Measurement	Cancer Modifier	Dimension
Measurement	Cancer Modifier	Margin
Measurement	Cancer Modifier	Topography
Measurement	Cancer Modifier	Histopattern
Measurement	Cancer Modifier	Staging/Grading
Measurement	Cancer Modifier	Extension/Invasion
Measurement	Cancer Modifier	Nodes
Measurement	HCPCS	HCPCS
Measurement	HCPCS	HCPCS Modifier
Measurement	LOINC	Clinical Observation
Measurement	LOINC	Lab Test
Measurement	NAACCR	NAACCR Variable
Measurement	Nebraska Lexicon	Staging / Scales
Measurement	Nebraska Lexicon	Procedure
Measurement	Nebraska Lexicon	Clinical Finding
Measurement	OMOP Extension	Procedure
Measurement	OMOP Extension	Observable Entity
